sentence,label,predictions
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",negative,negative
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",positive,positive
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",positive,positive
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",positive,positive
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",positive,positive
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,positive,positive
holm ... embodies the character with an effortlessly regal charisma . ,positive,positive
"the title not only describes its main characters , but the lazy people behind the camera as well . ",negative,negative
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,negative,negative
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,negative,negative
a subtle and well-crafted ( for the most part ) chiller . ,positive,positive
has a lot of the virtues of eastwood at his best . ,positive,positive
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,negative,negative
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",negative,negative
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",positive,positive
"mr. tsai is a very original artist in his medium , and what time is it there ? ",positive,positive
sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,positive,positive
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,negative,negative
"a tender , heartfelt family drama . ",positive,positive
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,negative,negative
the cold turkey would 've been a far better title . ,negative,negative
manages to be both repulsively sadistic and mundane . ,negative,negative
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",negative,negative
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",positive,positive
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",negative,negative
the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,positive,positive
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",positive,positive
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",negative,negative
you wonder why enough was n't just a music video rather than a full-length movie . ,negative,negative
"if you 're hard up for raunchy college humor , this is your ticket right here . ",positive,positive
"a fast , funny , highly enjoyable movie . ",positive,positive
good old-fashioned slash-and-hack is back ! ,positive,positive
"this one is definitely one to skip , even for horror movie fanatics . ",negative,negative
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",negative,negative
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",positive,positive
uses high comedy to evoke surprising poignance . ,positive,positive
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",positive,positive
a string of rehashed sight gags based in insipid vulgarity . ,negative,negative
among the year 's most intriguing explorations of alientation . ,positive,positive
the movie fails to live up to the sum of its parts . ,negative,negative
the son 's room is a triumph of gentility that earns its moments of pathos . ,positive,positive
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",positive,positive
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,negative,negative
the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,positive,positive
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",negative,negative
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,negative,negative
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",positive,positive
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",positive,positive
the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,positive,positive
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",negative,negative
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,positive,positive
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,positive,positive
"we know the plot 's a little crazy , but it held my interest from start to finish . ",positive,positive
"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",positive,positive
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",positive,positive
"you wo n't like roger , but you will quickly recognize him . ",negative,negative
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,positive,positive
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",positive,positive
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,negative,positive
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",negative,negative
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",positive,positive
"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",negative,negative
why make a documentary about these marginal historical figures ? ,negative,negative
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",positive,positive
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",negative,positive
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",positive,positive
"a gripping movie , played with performances that are all understated and touching . ",positive,positive
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",positive,positive
"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",negative,negative
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,positive,positive
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,negative,negative
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",negative,negative
it 's great escapist fun that recreates a place and time that will never happen again . ,positive,positive
"scores no points for originality , wit , or intelligence . ",negative,negative
"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",negative,negative
hilariously inept and ridiculous . ,positive,negative
this movie is maddening . ,negative,negative
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ",positive,positive
sam mendes has become valedictorian at the school for soft landings and easy ways out . ,negative,negative
one of the smartest takes on singles culture i 've seen in a long time . ,positive,positive
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",positive,positive
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,negative,negative
comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,negative,negative
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",positive,positive
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,negative,negative
old-form moviemaking at its best . ,positive,positive
turns potentially forgettable formula into something strangely diverting . ,positive,positive
"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",positive,positive
a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,positive,positive
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,negative,negative
"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",negative,negative
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,positive,positive
"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ",positive,positive
suffers from the lack of a compelling or comprehensible narrative . ,negative,negative
"in execution , this clever idea is far less funny than the original , killers from space . ",negative,negative
scooby dooby doo / and shaggy too / you both look and sound great . ,positive,positive
"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",negative,negative
it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,negative,negative
"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",negative,negative
looks and feels like a project better suited for the small screen . ,negative,negative
"forced , familiar and thoroughly condescending . ",negative,negative
that is a compliment to kuras and miller . ,positive,positive
it 's not the ultimate depression-era gangster movie . ,negative,negative
sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,negative,negative
the character of zigzag is not sufficiently developed to support a film constructed around him . ,negative,negative
what better message than ` love thyself ' could young women of any size receive ? ,positive,positive
a solid film ... but more conscientious than it is truly stirring . ,positive,positive
"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",negative,negative
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,negative,negative
"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . ",positive,positive
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,negative,negative
feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,negative,negative
"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",positive,positive
overall very good for what it 's trying to do . ,positive,positive
"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . ",positive,positive
"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . ",positive,positive
the heavy-handed film is almost laughable as a consequence . ,negative,negative
a solid examination of the male midlife crisis . ,positive,positive
a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . ,negative,negative
"manages to transcend the sex , drugs and show-tunes plot into something far richer . ",positive,positive
it takes talent to make a lifeless movie about the most heinous man who ever lived . ,negative,negative
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",negative,negative
"like leon , it 's frustrating and still oddly likable . ",positive,positive
"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . ",negative,negative
not exactly the bees knees ,negative,negative
"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . ",negative,negative
"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ? ",negative,negative
a woman 's pic directed with resonance by ilya chaiken . ,positive,positive
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,negative,negative
"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ",negative,negative
the end result is a film that 's neither . ,negative,negative
manages to be sweet and wickedly satisfying at the same time . ,positive,positive
leigh 's film is full of memorable performances from top to bottom . ,positive,positive
"it 's also , clearly , great fun . ",positive,positive
rarely has leukemia looked so shimmering and benign . ,negative,positive
it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . ,positive,positive
"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ",negative,negative
if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,positive,positive
"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . ",positive,positive
"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . ",negative,negative
"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ",negative,negative
it made me want to wrench my eyes out of my head and toss them at the screen . ,negative,negative
the film 's performances are thrilling . ,positive,positive
"unfortunately , it 's not silly fun unless you enjoy really bad movies . ",negative,negative
it 's a bad thing when a movie has about as much substance as its end credits blooper reel . ,negative,negative
"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ",negative,negative
"the lower your expectations , the more you 'll enjoy it . ",negative,positive
"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ",negative,negative
"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ",positive,positive
"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . ",positive,positive
` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ' ,positive,positive
"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . ",negative,negative
"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? ",negative,negative
"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ",negative,negative
the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . ,positive,positive
"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",positive,positive
"morton uses her face and her body language to bring us morvern 's soul , even though the character is almost completely deadpan . ",positive,positive
"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life . ",positive,positive
my thoughts were focused on the characters . ,positive,positive
"so , too , is this comedy about mild culture clashing in today 's new delhi . ",positive,positive
"for starters , the story is just too slim . ",negative,negative
"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world . ",positive,positive
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",negative,negative
"the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . ",positive,positive
"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . ",positive,positive
"there ought to be a directing license , so that ed burns can have his revoked . ",negative,negative
bad . ,negative,negative
"that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums . ",positive,positive
falls neatly into the category of good stupid fun . ,positive,positive
"an artful , intelligent film that stays within the confines of a well-established genre . ",positive,positive
"smart , provocative and blisteringly funny . ",positive,positive
"and the lesson , in the end , is nothing new . ",negative,negative
"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience . ",negative,negative
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ",positive,positive
to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . ,negative,negative
"the entire movie is about a boring , sad man being boring and sad . ",negative,negative
"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . ",negative,negative
"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ",negative,negative
"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",positive,positive
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure . ,positive,positive
"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ",negative,negative
"all that 's missing is the spontaneity , originality and delight . ",negative,negative
"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ",positive,positive
the socio-histo-political treatise is told in earnest strides ... ( and ) personal illusion is deconstructed with poignancy . ,positive,positive
my reaction in a word : disappointment . ,negative,negative
"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ",positive,positive
"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . ",positive,positive
"nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun . ",positive,positive
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",positive,positive
"of course , by more objective measurements it 's still quite bad . ",negative,negative
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",positive,positive
it provides an honest look at a community striving to anchor itself in new grounds . ,positive,positive
this movie seems to have been written using mad-libs . ,negative,negative
reign of fire looks as if it was made without much thought -- and is best watched that way . ,positive,negative
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",positive,positive
"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation . ",negative,negative
i 'd have to say the star and director are the big problems here . ,negative,negative
affleck and jackson are good sparring partners . ,positive,positive
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",positive,positive
not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . ,positive,positive
a by-the-numbers effort that wo n't do much to enhance the franchise . ,negative,negative
"an occasionally funny , but overall limp , fish-out-of-water story . ",negative,negative
brilliantly explores the conflict between following one 's heart and following the demands of tradition . ,positive,positive
"despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience . ",positive,positive
it appears that something has been lost in the translation to the screen . ,negative,negative
it all feels like a monty python sketch gone horribly wrong . ,negative,negative
the film tunes into a grief that could lead a man across centuries . ,positive,positive
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ",positive,positive
it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,positive,positive
it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun . ,positive,positive
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . ",negative,negative
"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ",positive,positive
huston nails both the glad-handing and the choking sense of hollow despair . ,positive,positive
one of the more intelligent children 's movies to hit theaters this year . ,positive,positive
the film tries too hard to be funny and tries too hard to be hip . ,negative,negative
blanchett 's performance confirms her power once again . ,positive,positive
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ",negative,negative
attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,negative,negative
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise . ,negative,negative
rarely has so much money delivered so little entertainment . ,negative,negative
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,negative,negative
`` the time machine '' is a movie that has no interest in itself . ,negative,negative
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight . ,positive,positive
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",negative,positive
"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . ",positive,positive
"it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . ",negative,negative
"chilling , well-acted , and finely directed : david jacobson 's dahmer . ",positive,positive
"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ",negative,negative
"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",negative,negative
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",positive,positive
"it 's played in the most straight-faced fashion , with little humor to lighten things up . ",negative,negative
a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,negative,negative
"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ",negative,negative
dense with characters and contains some thrilling moments . ,positive,positive
as unseemly as its title suggests . ,positive,negative
it 's like watching a nightmare made flesh . ,negative,negative
"minority report is exactly what the title indicates , a report . ",positive,positive
"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . ",negative,negative
"an entertaining , colorful , action-filled crime story with an intimate heart . ",positive,positive
"for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal . ",positive,positive
"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . ",positive,positive
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars . ,negative,negative
... with `` the bourne identity '' we return to the more traditional action genre . ,positive,positive
"it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . ",positive,positive
chokes on its own depiction of upper-crust decorum . ,negative,negative
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",positive,negative
a rewarding work of art for only the most patient and challenge-hungry moviegoers . ,positive,positive
directed in a paint-by-numbers manner . ,negative,negative
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . ,negative,negative
"at its best , queen is campy fun like the vincent price horror classics of the '60s . ",positive,positive
"it 's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip . ",positive,positive
the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy . ,positive,positive
cool ? ,positive,positive
"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",positive,positive
"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . ",negative,negative
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,negative,negative
"at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . ",positive,positive
"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ",positive,positive
jones ... does offer a brutal form of charisma . ,positive,positive
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,negative,negative
travels a fascinating arc from hope and euphoria to reality and disillusionment . ,positive,positive
serving sara does n't serve up a whole lot of laughs . ,negative,negative
"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . ",positive,positive
"fun , flip and terribly hip bit of cinematic entertainment . ",positive,positive
"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ",negative,negative
the wild thornberrys movie is a jolly surprise . ,positive,positive
"entertains by providing good , lively company . ",positive,positive
"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work . ",positive,positive
what was once original has been co-opted so frequently that it now seems pedestrian . ,negative,negative
the story and structure are well-honed . ,positive,positive
"macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role . ",positive,positive
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution . ,positive,negative
the second coming of harry potter is a film far superior to its predecessor . ,positive,positive
"if you can stomach the rough content , it 's worth checking out for the performances alone . ",positive,positive
"a warm , funny , engaging film . ",positive,positive
i 'll bet the video game is a lot more fun than the film . ,negative,negative
the best film about baseball to hit theaters since field of dreams . ,positive,positive
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,positive,positive
"complete lack of originality , cleverness or even visible effort ",negative,negative
"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ",positive,positive
"all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us . ",positive,positive
hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,negative,negative
too much of it feels unfocused and underdeveloped . ,negative,negative
a deep and meaningful film . ,positive,positive
but it could have been worse . ,negative,positive
that 's pure pr hype . ,negative,negative
a painfully funny ode to bad behavior . ,positive,positive
"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",positive,positive
"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image . ",positive,positive
a beguiling splash of pastel colors and prankish comedy from disney . ,positive,positive
"it proves quite compelling as an intense , brooding character study . ",positive,positive
an unwise amalgam of broadcast news and vibes . ,negative,negative
"utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film . ",negative,negative
and that leaves a hole in the center of the salton sea . ,negative,negative
the chateau cleverly probes the cross-cultural differences between gauls and yanks . ,positive,positive
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,positive,positive
"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ",positive,positive
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure . ",positive,positive
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . ",negative,negative
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all . ",positive,positive
