sentence,label,predictions
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",negative,negative
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ",positive,positive
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",positive,positive
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",positive,positive
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",positive,positive
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,positive,negative
holm ... embodies the character with an effortlessly regal charisma . ,positive,positive
"the title not only describes its main characters , but the lazy people behind the camera as well . ",negative,negative
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,negative,negative
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,negative,negative
a subtle and well-crafted ( for the most part ) chiller . ,positive,positive
has a lot of the virtues of eastwood at his best . ,positive,positive
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,negative,negative
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",negative,negative
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",positive,positive
"mr. tsai is a very original artist in his medium , and what time is it there ? ",positive,positive
sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,positive,positive
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,negative,negative
"a tender , heartfelt family drama . ",positive,positive
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,negative,negative
the cold turkey would 've been a far better title . ,negative,negative
manages to be both repulsively sadistic and mundane . ,negative,negative
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",negative,negative
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",positive,positive
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",negative,negative
the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,positive,positive
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",positive,positive
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",negative,negative
you wonder why enough was n't just a music video rather than a full-length movie . ,negative,negative
"if you 're hard up for raunchy college humor , this is your ticket right here . ",positive,positive
"a fast , funny , highly enjoyable movie . ",positive,positive
good old-fashioned slash-and-hack is back ! ,positive,positive
"this one is definitely one to skip , even for horror movie fanatics . ",negative,negative
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",negative,negative
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",positive,positive
uses high comedy to evoke surprising poignance . ,positive,positive
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",positive,negative
a string of rehashed sight gags based in insipid vulgarity . ,negative,negative
among the year 's most intriguing explorations of alientation . ,positive,positive
the movie fails to live up to the sum of its parts . ,negative,negative
the son 's room is a triumph of gentility that earns its moments of pathos . ,positive,positive
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",positive,negative
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,negative,negative
the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,positive,positive
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ",negative,negative
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,negative,negative
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",positive,positive
"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",positive,positive
the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,positive,positive
"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",negative,negative
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,positive,positive
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,positive,negative
"we know the plot 's a little crazy , but it held my interest from start to finish . ",positive,positive
"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",positive,positive
"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ",positive,positive
"you wo n't like roger , but you will quickly recognize him . ",negative,negative
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,positive,positive
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ",positive,positive
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,negative,negative
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",negative,negative
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",positive,positive
"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",negative,negative
why make a documentary about these marginal historical figures ? ,negative,negative
